ID,Yield
ID_F9XXEXN2ADR2,696.7
ID_SO3VW2X4QO93,415.03666666666663
ID_UKUQ7JM8E894,502.18
ID_QUISMWEZR2H4,306.8
ID_25JGI455VKCZ,593.34
ID_KQEAOXF3RPV6,345.81
ID_FSNZCPW9HTD2,827.61
ID_U2TOPOA0T40S,295.57
ID_XVQLSUKOT04J,1185.9
ID_EAZAU6IW58PK,159.52
ID_WI17R25TC2VU,347.05
ID_OPR9MJWG40U7,1634.25
ID_P9K9GAHC6FX6,606.88
ID_SCAOUCCTJ75Z,37.25
ID_MUP1OS8GZR5E,2978.76
ID_WVBSZ9VBC9HE,687.35
ID_9MGH1WIKFBNB,367.89
ID_3M2O3EPOM18C,2172.83
ID_K9MOR4N1FWIB,592.22
ID_VJPUPMSQARO5,1200.18
ID_7WIMK3DXIU3Q,1165.99
ID_6QXVH0EUS60J,1205.4
ID_CA9GH6Q53A1Q,189.54
ID_94KO4EQ6TA3S,245.31
ID_2WH3AXUWRS2A,238.5
ID_LBS8TBC6QEF1,308.25
ID_Y3YARETW8RAP,1237.6
ID_BY9JJAIKBRGP,409.44333333333327
ID_0U5AM482W1DE,376.5
ID_G0I28ORJC3OP,421.05
ID_Q34ED4EMSA3R,573.55
ID_LN3LXEG984XM,607.69
ID_0JTIPPYRJND0,762.3
ID_2MRD9I2X8UXB,198.9
ID_KH1FHLUW2T4X,235.15
ID_RFM5MWSIU1JX,328.34
ID_IAH2UTMDVU8F,248.15
ID_9SNP46T1GSJI,708.71
ID_DSQ9ISYFW4DB,443.0
ID_B8XYLC3NM6XD,53.02
ID_HOG9LK4CTN8K,456.15
ID_L3RTRS1QIY6D,339.38
ID_03QW4RBYQEBK,396.8
ID_ZJSYN3ZHXK5K,804.05
ID_UPRM76SZ7IJJ,683.95
ID_YB866N9RY5TU,546.8
ID_4H0KNHPKF9BK,174.52
ID_TOIT03A3WTTD,320.08
ID_4P7NKCB6LMJ5,41.7
ID_1TIMGZJLRLWF,628.46
ID_25E6065LQDON,688.62
ID_SOB9B3H12POE,856.54
ID_A8RF0GQGJF5H,891.0
ID_GT36LGF8SM8K,538.32
ID_E9OHGDA3U6DG,455.3
ID_HXWHLMRE99CE,1261.6
ID_3VL9DLFRG5A3,322.63
ID_OKPI3DR2ZQPJ,273.58
ID_XZO6ECCAOC94,897.7
ID_4X2UWYR6RIE2,869.03
ID_1LVAHN6PZYBS,764.5
ID_HRAJFKTPCNWQ,1999.46
ID_TK4H5NRKHOE8,356.62
ID_9U0UBT1J8152,321.41
ID_3EUKVYT37JOP,236.28
ID_1499QWPPW755,531.73
ID_ULWP3J0G860C,386.79
ID_51FSB3P7RO7F,587.48
ID_FHMVP6OM4GDX,1810.35
ID_2OICAUFVUF5S,227.7
ID_ZGCFHIHAIC5U,425.87
ID_SR592R346POT,1232.05
ID_IW7UUDAW8LI0,401.85
ID_UNWZCF6L3JHJ,426.9
ID_Z4FXX0BNPHCO,1967.5
ID_T18YB26T1R72,426.45
ID_LXZWOINVI194,581.52
ID_QNQJS14C9JJR,1901.75
ID_NTPIQUV3J2G6,852.78
ID_PVQOEEDTISZ0,14.07
ID_PNB65ASGG3U5,318.53
ID_KWPXATBZDX9T,507.43
ID_0G0F9TOR4IMI,1521.0
ID_FVLMABW5Y6X2,929.7
ID_O2PL38IY50T5,381.2
ID_CNG8Z00FPPMP,797.1
ID_641DSHBH8JAF,1136.52
ID_Y14QXUKOFJ4H,322.48
ID_DRP3WZV4BNIE,399.94
ID_TMXV7UW39T80,227.4
ID_0L8O49SS6MQM,499.92
ID_UGTG0XQELY2U,438.3
ID_0YZYA9AXL9Z2,297.76
ID_KNOK4V0IWVUO,156.95
ID_YX4DF17Z25RV,413.76
ID_2YAZXP3AEDVO,321.69
ID_YNACZPCVVI09,1795.43
ID_75GYXJW1DYGX,324.69
ID_YRCMJRFRTU2K,562.65
ID_1L4WBTHTDQMP,511.66
ID_RO0XF0TFLRG6,620.96
ID_NJ7G0SAVDN1Q,329.24
ID_UFPM6MLG1BJK,4.06
ID_ULY51B6WQ9FV,799.3
ID_CR6L4TL2VEEM,232.7
ID_4YRSPS7X1V7Q,385.72
ID_ILQ5YE78E0SD,238.11
ID_WDNXY8YRA10N,408.94
ID_WYK6LRWQ21ML,283.01
ID_EBA4QUGDXB5I,1187.15
ID_2WCWAKQKRA74,706.9
ID_FTSIEXKUER9Y,360.75
ID_64BCOW7PEP3E,81.6
ID_0N5TFB55JBOB,714.7
ID_9AE1OJ45UFJ3,556.9
ID_NJWAR6L7X4Q6,778.0
ID_W8U6J9PKGGGI,391.65
ID_WJUUIJMPNLHW,378.06
ID_S7F4L5OW7OKD,721.33
ID_Y0OX05BLLQPI,200.55
ID_XJ7ULGKCALNF,586.3
ID_8NU1PZBDI5C7,1191.65
ID_CPPN31R20CBA,637.85
ID_D20Z6VEJBE6K,4.0
ID_N6RSTF2IR5GL,533.97
ID_DJBLGDPMS85M,4.0
ID_34J19EEKSSHY,831.88
ID_P8MQS1ERUQ9F,238.09
ID_U07HHH2EG6K1,843.2
ID_IKAOSO0CFKYZ,169.5
ID_NHQ2WMFGNBS1,330.77
ID_FRJ3P7XDG7OV,531.89
ID_5N0W8ZFFAIQX,431.91
ID_OFSHZ2KZ1LQ4,4.0
ID_A6C1G6XUATUE,62.35
ID_N99MP1180BJ5,242.37
ID_D5F8SLVPMZKE,159.45
ID_49QTISSSNQ0M,615.38
ID_S1WHDBHNKLYO,320.78
ID_9YE4VBW3W1WJ,438.88
ID_7SWZRG2B52YI,330.33
ID_41XNQZ8M4QXH,353.91666666666674
ID_SIB0PJZQMRBO,342.29
ID_M47IW492SXOP,158.39
ID_MTUJW5V02DWQ,791.0
ID_Y108HSDX00WC,955.83
ID_QRD8JCO8QWCF,96.99
ID_RIP1ZN0ST7I3,212.85
ID_BPS356NV28J7,1176.9
ID_0KANA1KYEQKW,111.8
ID_80MMCWDS27VC,2303.99
ID_CH1WWOXBV7L8,385.5
ID_PM7YZSDTN1OI,695.58
ID_FR4XH94DJW50,534.22
ID_D1IDORABBOBP,458.87
ID_0BE8BMWG3A68,507.73
ID_RY2QD5TLB4US,428.09
ID_S8D99RRNCOMC,1425.4
ID_YZLW773BTIA3,330.14
ID_FL8VHWG97QTI,645.01
ID_JVLT86OR9T15,658.92
ID_NBSTAXAZ24X0,858.84
ID_43VRMQQ5E60F,303.23
ID_HI4ACMU7M13J,440.52
ID_UI96L3AE8YXY,577.91
ID_UXRI6OXKF50S,989.6
ID_FW06NS2YA7QW,407.45
ID_RA5OO0JVNOUF,400.0
ID_EVGU94YQTZWM,153.5
ID_GHANLFEJN9UW,158.15
ID_HXBFX8X2DD7B,922.81
ID_KUNLQSF5FM19,659.94
ID_7XXH76413XNT,630.1
ID_D58TIQKQLU7Q,394.87
ID_W5CLRPVGFRKH,418.94
ID_A3Y0OIB0BE59,395.85
ID_C74NLELOCNTS,2408.88
ID_2FIGN89QV44C,395.48
ID_QN4PJSV2CGSJ,342.58
ID_V5W6AZBTURWA,437.42
ID_L6E0GOTVHSCD,625.95
ID_Q95BUWXK8RM3,145.13857142857142
ID_5TLXCFLTYF1F,423.73
ID_GLBHSYJG9S5B,1326.7
ID_3X3YHRC7IIN9,547.07
ID_5H724YS64665,841.7
ID_U4Z5RN88FCZM,637.18
ID_05TGZGOMI6MF,408.7
ID_0GCZV8RUSZK6,351.18
ID_UV06K1FM1SB5,488.6
ID_RCJZ3PORBWFV,136.24
ID_W1NL5CU9VHQS,439.63
ID_2WIYFQHMJPYD,1157.4
ID_BFFULEU6PVQ9,101.0
ID_JN31K11BXQ0E,310.08
ID_DS40FHVR9R7F,356.55
ID_DNOT9DTVZ6MQ,782.3
ID_Z58PO8MMX8YV,789.87
ID_NEYMBJKFHN1X,481.2
ID_RND7MNSA6LWV,297.65
ID_U407VXC7F9NZ,271.74
ID_ES753BBA75GB,179.39
ID_APRL4BTWWRW9,310.03
ID_S909ZPBZ39II,289.55
ID_YYFP9SWEV0U5,1203.8
ID_25EBTESPBHGZ,634.8
ID_W0W8TG7XRWE3,159.45
ID_0FU2BPIOTMVD,699.93
ID_OF817VW3STNX,507.23
ID_7QATIJ9YSL1K,1924.48
ID_LBPW7URC7BBW,483.7
ID_7WYQ81JCM9V3,264.6
ID_JGSVOGVN6522,567.42
ID_TOUB2GY1ZHXT,665.96
ID_9AJCTSUQG7FZ,524.8
ID_VKOZPEUVSDI8,682.01
ID_UG5GQ68S58OW,450.6
ID_4RB8XK2ZB1IR,806.5
ID_Z3P4T6K6P2ED,210.6
ID_VUGTKX63R5P0,413.93
ID_XMF3Q64FMLBK,497.23
ID_DTWCZ9G9C8WD,903.68
ID_0MNYHJUPIOIT,200.44
ID_ZGAL960JTO3R,469.15
ID_PK835TJNER3I,674.84
ID_KVGPYMSHB2WJ,299.51
ID_OWIQYP0I1HGW,1340.8
ID_7RS2XDILJLBL,419.55
ID_EDCLK08NMF0N,404.15
ID_97Y87C3ANP5B,329.84
ID_D3SKVOTTB4KQ,252.97
ID_APFVFYM11UU0,1824.1
ID_TAIVU9LHBYZ8,500.89
ID_NTR94XDRQIHZ,136.44
ID_8QCOFS2HXOJQ,408.5
ID_7ZZVZZH08UWF,393.98
ID_9NGVV4V11YU2,406.25
ID_5G8RKC18KLXV,1650.67
ID_BSVRMHEKDQKD,450.45
ID_6Z12209FUIAT,722.76
ID_IRBHYP3G7UXU,345.78
ID_9PH4KNPDDVWS,795.36
ID_S4G0N1TJEDUG,383.81
ID_OP7NSDQGR6AE,66.01
ID_32RIU94UJDHI,1491.8
ID_85WKQYHE0W5H,796.1
ID_2T4I23J42NUP,382.85
ID_LOJZM912S2TH,459.53
ID_FQAR45VD4PQ5,715.1
ID_RA4Y3ZL70BWO,1173.46
ID_UH3QT7I1O24Q,173.45
ID_P9OZQ56CX2YO,510.57
ID_RB24VMV9FIGM,393.26
ID_XECRIM8DR00Z,1193.68
ID_EYIQ79MA3T5E,733.3
ID_B0QBM2S1R9S7,205.69
ID_1L74BG9P0TKX,755.8
ID_141KG0TOOCJ6,766.9
ID_IMKLSNJKVI4P,305.49
ID_253P6J7D92PW,432.26
ID_PCC17RCZX06S,316.09
ID_7MUPVDZE1ZWB,1488.15
ID_O994OZU1NP7E,614.28
ID_RFVKSMVILY31,500.48
ID_MTR7TTJ5LSBE,117.84
ID_87QM8DS5HSU7,1339.95
ID_8KXPBLV53NZK,561.43
ID_LQVS4LC3YRMB,508.95
ID_ISVACTKT5MAA,397.8
ID_C64B9DUNSCM1,195.0
ID_ZXAE37OWUMFI,411.9
ID_L7Y4MKY66OSL,593.42
ID_TZ1FUOUR0Y8X,1183.0
ID_D7HMR45HU1ZW,441.69
ID_UCZXI2H7S2YD,244.89
ID_7TU75PUQP312,2263.2
ID_4ULCEP364DAF,531.1
ID_8EOY07K5LOC4,343.83
ID_NK47MAUWJ8Z5,155.22
ID_8ZCGIWU6GZLO,290.19
ID_SNIWSZ237UOD,313.5
ID_7LDSCZ2OPT0K,477.1
ID_TK2TH4JSJ1KB,140.57
ID_UUXFZKSR58SC,304.55
ID_EVACECC6XIW9,1643.9
ID_U2LSES0Y4I3C,1609.7
ID_NEGU2TDNC4Y0,121.91
ID_WCBHSOBP51H1,228.73
ID_SVRQ4NGZFMMP,928.55
ID_5TBBUKHYJ1KI,640.07
ID_4AOR8R30LNOD,435.75
ID_5XOUKBLNO7AC,491.75
ID_IQZTM1J018FS,791.8
ID_Q9VXX3O6IZOD,250.08
ID_HTEQD0S6QIB8,282.17
ID_0GFT8KE7O9RP,790.45
ID_SHFI8L6O4DQ3,708.3
ID_64MUBP88ECF6,428.65
ID_EHYBYH7QLOSL,196.6
ID_GTGEI6PS93QJ,1853.11
ID_TL9C9OJ8G68U,246.7
ID_SM1GWL52K1F8,369.22
ID_DZW8R8ONEU66,461.76
ID_HBDA4P8811S8,2535.82
ID_CJQOTSL074N8,600.16
ID_KZ0X60V9XQIG,2542.15
ID_0TWFZTV06NYT,595.15
ID_PVJN35A46C0K,476.66
ID_D732BOTXBLSI,393.9
ID_342GB00NU2X8,163.95
ID_AQUL5HCLWJPM,1028.63
ID_VU3938I1G9Z0,776.0
ID_Y2ZY2HDPU6PE,402.4
ID_SJD77GLF5ZFJ,506.65
ID_3T35R9QJBF2M,432.63
ID_NQUTMXXK59YN,583.06
ID_SV7AFMBC72LB,156.26
ID_PAPK30H37SIW,831.7
ID_URRQOVPPCBQ4,197.9
ID_CQPXYYK4KGB7,409.68
ID_RJIJXF4OS4RL,22.88
ID_APUXW8HC4K6B,1226.0
ID_61Q9C9GGPHDI,1344.5
ID_ZWZRMNC7OOCV,251.89
ID_IYKX7HR08L6A,14.4
ID_AIG281L5ZHU8,281.68
ID_NHUOZPKIO0BR,401.1
ID_LLYN4K7KIT4R,445.47
ID_0TSE5OLEV8WK,419.08
ID_H992DU9HM8DQ,316.25
ID_UK0CBXPBQ5RY,1045.36
ID_RDPY3EBXFJ5O,1307.7
ID_5L97TY473GY5,1604.7
ID_5B1X9MC1IFX0,317.12
ID_ECWVAC40SNWB,6309.8
ID_OE87AT5TAUEI,2105.6
ID_XR12GEBM8H2K,1314.95
ID_LJ2AP4BNL25Y,469.28
ID_LH311ABG9XDL,309.36
ID_HXONOBB4HD6T,1955.63
ID_7AOOKABBB6N8,1243.15
ID_Z17C9TLMF1MJ,168.85
ID_3PUBL95YQ1AF,801.7
ID_3RUIBILNO5TH,203.1
ID_9VMYZE08M98X,788.55
ID_6SDJYMNC1T2Z,29.76
ID_61DT371A8JKT,345.94
ID_R51LYLFQUFIL,619.89
ID_MJYLQ159US1Y,923.65
ID_QQHLY17D6RBD,1268.95
ID_Y84JBGTU3NGV,675.05
ID_V8BHOZICY6IF,346.6660714285714
ID_DZ1R5TGC156F,678.24
ID_UQTR8CQ5LH50,1588.5
ID_CK56LDNW1478,761.5
ID_QJGUBXWDDCRS,714.85
ID_H7YHR5OTSNS5,143.97
ID_8FRJCZZGLIRC,720.77
ID_U29DLWFB48GG,271.76
ID_W3OHI7MAVC24,153.27
ID_1ZY88AN5LZD4,423.36
ID_OC5EEB6B892L,745.7
ID_CMWPG2PIB75R,644.67
ID_NWEI411ITDHM,746.74
ID_G49PUGN2HFAD,241.0
