ID,Yield
ID_F9XXEXN2ADR2,645.8
ID_SO3VW2X4QO93,419.98
ID_UKUQ7JM8E894,505.86
ID_QUISMWEZR2H4,325.71
ID_25JGI455VKCZ,604.67
ID_KQEAOXF3RPV6,370.79
ID_FSNZCPW9HTD2,887.07
ID_U2TOPOA0T40S,315.17
ID_XVQLSUKOT04J,1085.1
ID_EAZAU6IW58PK,173.1
ID_WI17R25TC2VU,377.26
ID_OPR9MJWG40U7,1683.8
ID_P9K9GAHC6FX6,635.49
ID_SCAOUCCTJ75Z,40.48
ID_MUP1OS8GZR5E,2644.3
ID_WVBSZ9VBC9HE,694.54
ID_9MGH1WIKFBNB,385.49
ID_3M2O3EPOM18C,2168.25
ID_K9MOR4N1FWIB,563.44
ID_VJPUPMSQARO5,1189.55
ID_7WIMK3DXIU3Q,1247.0
ID_6QXVH0EUS60J,1222.3
ID_CA9GH6Q53A1Q,218.71
ID_94KO4EQ6TA3S,251.67
ID_2WH3AXUWRS2A,233.2
ID_LBS8TBC6QEF1,320.85
ID_Y3YARETW8RAP,1269.08
ID_BY9JJAIKBRGP,412.7066666666667
ID_0U5AM482W1DE,402.62
ID_G0I28ORJC3OP,425.57
ID_Q34ED4EMSA3R,639.0
ID_LN3LXEG984XM,603.13
ID_0JTIPPYRJND0,773.58
ID_2MRD9I2X8UXB,200.0
ID_KH1FHLUW2T4X,248.95
ID_RFM5MWSIU1JX,315.6
ID_IAH2UTMDVU8F,245.24
ID_9SNP46T1GSJI,719.96
ID_DSQ9ISYFW4DB,516.82
ID_B8XYLC3NM6XD,167.86
ID_HOG9LK4CTN8K,462.22
ID_L3RTRS1QIY6D,357.46
ID_03QW4RBYQEBK,411.95
ID_ZJSYN3ZHXK5K,820.43
ID_UPRM76SZ7IJJ,644.07
ID_YB866N9RY5TU,541.2
ID_4H0KNHPKF9BK,200.8
ID_TOIT03A3WTTD,340.82
ID_4P7NKCB6LMJ5,44.14
ID_1TIMGZJLRLWF,634.99
ID_25E6065LQDON,691.52
ID_SOB9B3H12POE,893.6
ID_A8RF0GQGJF5H,883.0
ID_GT36LGF8SM8K,521.59
ID_E9OHGDA3U6DG,453.61
ID_HXWHLMRE99CE,1238.33
ID_3VL9DLFRG5A3,347.59
ID_OKPI3DR2ZQPJ,294.2633333333334
ID_XZO6ECCAOC94,937.6
ID_4X2UWYR6RIE2,805.0
ID_1LVAHN6PZYBS,804.05
ID_HRAJFKTPCNWQ,1994.25
ID_TK4H5NRKHOE8,332.4
ID_9U0UBT1J8152,349.49
ID_3EUKVYT37JOP,238.0
ID_1499QWPPW755,557.03
ID_ULWP3J0G860C,382.025
ID_51FSB3P7RO7F,609.38
ID_FHMVP6OM4GDX,1781.7
ID_2OICAUFVUF5S,222.4
ID_ZGCFHIHAIC5U,420.08
ID_SR592R346POT,1245.0
ID_IW7UUDAW8LI0,403.78
ID_UNWZCF6L3JHJ,430.67
ID_Z4FXX0BNPHCO,2157.54
ID_T18YB26T1R72,392.64
ID_LXZWOINVI194,600.14
ID_QNQJS14C9JJR,1937.58
ID_NTPIQUV3J2G6,860.01
ID_PVQOEEDTISZ0,4.0
ID_PNB65ASGG3U5,320.2
ID_KWPXATBZDX9T,532.6
ID_0G0F9TOR4IMI,1542.0
ID_FVLMABW5Y6X2,931.56
ID_O2PL38IY50T5,367.19
ID_CNG8Z00FPPMP,790.88
ID_641DSHBH8JAF,1148.56
ID_Y14QXUKOFJ4H,319.7233333333333
ID_DRP3WZV4BNIE,477.8
ID_TMXV7UW39T80,226.07
ID_0L8O49SS6MQM,497.92
ID_UGTG0XQELY2U,442.57
ID_0YZYA9AXL9Z2,292.3
ID_KNOK4V0IWVUO,161.7
ID_YX4DF17Z25RV,383.3
ID_2YAZXP3AEDVO,348.54
ID_YNACZPCVVI09,1772.88
ID_75GYXJW1DYGX,315.26
ID_YRCMJRFRTU2K,782.9
ID_1L4WBTHTDQMP,542.48
ID_RO0XF0TFLRG6,628.74
ID_NJ7G0SAVDN1Q,366.6
ID_UFPM6MLG1BJK,4.06
ID_ULY51B6WQ9FV,821.08
ID_CR6L4TL2VEEM,232.35
ID_4YRSPS7X1V7Q,410.98
ID_ILQ5YE78E0SD,238.435
ID_WDNXY8YRA10N,402.54
ID_WYK6LRWQ21ML,334.46
ID_EBA4QUGDXB5I,1208.5
ID_2WCWAKQKRA74,675.07
ID_FTSIEXKUER9Y,348.42
