ID,Yield
ID_F9XXEXN2ADR2,680.22
ID_SO3VW2X4QO93,410.66
ID_UKUQ7JM8E894,539.77
ID_QUISMWEZR2H4,318.6
ID_25JGI455VKCZ,616.4
ID_KQEAOXF3RPV6,369.99
ID_FSNZCPW9HTD2,895.13
ID_U2TOPOA0T40S,296.55
ID_XVQLSUKOT04J,1078.7
ID_EAZAU6IW58PK,168.9
ID_WI17R25TC2VU,334.19
ID_OPR9MJWG40U7,1677.43
ID_P9K9GAHC6FX6,609.53
ID_SCAOUCCTJ75Z,28.68
ID_MUP1OS8GZR5E,2854.9
ID_WVBSZ9VBC9HE,676.95
ID_9MGH1WIKFBNB,387.42
ID_3M2O3EPOM18C,2145.25
ID_K9MOR4N1FWIB,557.39
ID_VJPUPMSQARO5,1316.7
ID_7WIMK3DXIU3Q,1234.5
ID_6QXVH0EUS60J,1204.9
ID_CA9GH6Q53A1Q,207.71
ID_94KO4EQ6TA3S,250.0
ID_2WH3AXUWRS2A,232.66
ID_LBS8TBC6QEF1,316.45
ID_Y3YARETW8RAP,1257.55
ID_BY9JJAIKBRGP,402.30666666666673
ID_0U5AM482W1DE,424.9
ID_G0I28ORJC3OP,459.45
ID_Q34ED4EMSA3R,599.68
ID_LN3LXEG984XM,643.06
ID_0JTIPPYRJND0,756.0
ID_2MRD9I2X8UXB,200.0
ID_KH1FHLUW2T4X,247.34
ID_RFM5MWSIU1JX,305.33666666666664
ID_IAH2UTMDVU8F,247.04
ID_9SNP46T1GSJI,691.9
ID_DSQ9ISYFW4DB,506.17
ID_B8XYLC3NM6XD,166.16
ID_HOG9LK4CTN8K,456.15
ID_L3RTRS1QIY6D,317.65
ID_03QW4RBYQEBK,396.58
ID_ZJSYN3ZHXK5K,828.95
ID_UPRM76SZ7IJJ,639.98
ID_YB866N9RY5TU,535.4
ID_4H0KNHPKF9BK,200.95
ID_TOIT03A3WTTD,299.68
ID_4P7NKCB6LMJ5,34.9
ID_1TIMGZJLRLWF,616.79
ID_25E6065LQDON,674.18
ID_SOB9B3H12POE,884.2
ID_A8RF0GQGJF5H,874.2
ID_GT36LGF8SM8K,519.57
ID_E9OHGDA3U6DG,438.3
ID_HXWHLMRE99CE,1229.63
ID_3VL9DLFRG5A3,319.26
ID_OKPI3DR2ZQPJ,279.13
ID_XZO6ECCAOC94,950.5
ID_4X2UWYR6RIE2,730.06
ID_1LVAHN6PZYBS,860.85
ID_HRAJFKTPCNWQ,1976.16
ID_TK4H5NRKHOE8,339.55
ID_9U0UBT1J8152,320.61
ID_3EUKVYT37JOP,238.51
ID_1499QWPPW755,972.36
ID_ULWP3J0G860C,382.3871428571429
ID_51FSB3P7RO7F,582.5
ID_FHMVP6OM4GDX,1781.33
ID_2OICAUFVUF5S,222.8
ID_ZGCFHIHAIC5U,429.16
ID_SR592R346POT,1229.5
ID_IW7UUDAW8LI0,404.97
ID_UNWZCF6L3JHJ,441.3
ID_Z4FXX0BNPHCO,1531.7
ID_T18YB26T1R72,415.94
ID_LXZWOINVI194,601.23
ID_QNQJS14C9JJR,1927.48
ID_NTPIQUV3J2G6,839.4
ID_PVQOEEDTISZ0,4.0
ID_PNB65ASGG3U5,323.3
ID_KWPXATBZDX9T,501.66
ID_0G0F9TOR4IMI,1538.85
ID_FVLMABW5Y6X2,921.51
ID_O2PL38IY50T5,345.06
ID_CNG8Z00FPPMP,781.0
ID_641DSHBH8JAF,1150.08
ID_Y14QXUKOFJ4H,324.238
ID_DRP3WZV4BNIE,545.24
ID_TMXV7UW39T80,227.21
ID_0L8O49SS6MQM,491.36
ID_UGTG0XQELY2U,449.3
ID_0YZYA9AXL9Z2,299.1
ID_KNOK4V0IWVUO,164.8
ID_YX4DF17Z25RV,390.56
ID_2YAZXP3AEDVO,308.88
ID_YNACZPCVVI09,1746.31
ID_75GYXJW1DYGX,323.05
ID_YRCMJRFRTU2K,618.64
ID_1L4WBTHTDQMP,519.54
ID_RO0XF0TFLRG6,620.31
ID_NJ7G0SAVDN1Q,361.27
ID_UFPM6MLG1BJK,4.1
ID_ULY51B6WQ9FV,817.8
ID_CR6L4TL2VEEM,232.25
ID_4YRSPS7X1V7Q,442.69
ID_ILQ5YE78E0SD,236.89333333333335
ID_WDNXY8YRA10N,441.98
ID_WYK6LRWQ21ML,308.98
ID_EBA4QUGDXB5I,1196.55
ID_2WCWAKQKRA74,647.47
ID_FTSIEXKUER9Y,329.1
ID_64BCOW7PEP3E,82.4
ID_0N5TFB55JBOB,706.1
ID_9AE1OJ45UFJ3,534.5
ID_NJWAR6L7X4Q6,787.4
ID_W8U6J9PKGGGI,382.15
ID_WJUUIJMPNLHW,380.9
ID_S7F4L5OW7OKD,903.57
ID_Y0OX05BLLQPI,197.4
ID_XJ7ULGKCALNF,656.58
ID_8NU1PZBDI5C7,1214.1
ID_CPPN31R20CBA,632.55
ID_D20Z6VEJBE6K,4.0
ID_N6RSTF2IR5GL,579.25
ID_DJBLGDPMS85M,4.0
ID_34J19EEKSSHY,850.28
ID_P8MQS1ERUQ9F,237.45
ID_U07HHH2EG6K1,847.9
ID_IKAOSO0CFKYZ,209.08
ID_NHQ2WMFGNBS1,323.04
ID_FRJ3P7XDG7OV,582.68
ID_5N0W8ZFFAIQX,454.98
ID_OFSHZ2KZ1LQ4,4.0
ID_A6C1G6XUATUE,56.14
ID_N99MP1180BJ5,239.27
ID_D5F8SLVPMZKE,146.1
ID_49QTISSSNQ0M,573.23
ID_S1WHDBHNKLYO,307.25
ID_9YE4VBW3W1WJ,427.15
ID_7SWZRG2B52YI,320.3
