ID,Yield
ID_F9XXEXN2ADR2,679.22
ID_SO3VW2X4QO93,398.17
ID_UKUQ7JM8E894,497.08
ID_QUISMWEZR2H4,312.95
ID_25JGI455VKCZ,605.38
ID_KQEAOXF3RPV6,370.94
ID_FSNZCPW9HTD2,897.23
ID_U2TOPOA0T40S,302.19
ID_XVQLSUKOT04J,1221.6
ID_EAZAU6IW58PK,160.0
ID_WI17R25TC2VU,331.69
ID_OPR9MJWG40U7,1675.03
ID_P9K9GAHC6FX6,621.47
ID_SCAOUCCTJ75Z,28.68
ID_MUP1OS8GZR5E,2857.9
ID_WVBSZ9VBC9HE,677.83
ID_9MGH1WIKFBNB,384.86
ID_3M2O3EPOM18C,2160.9
ID_K9MOR4N1FWIB,556.83
ID_VJPUPMSQARO5,1313.7
ID_7WIMK3DXIU3Q,1216.99
ID_6QXVH0EUS60J,1277.88
ID_CA9GH6Q53A1Q,215.11
ID_94KO4EQ6TA3S,256.85
ID_2WH3AXUWRS2A,233.61
ID_LBS8TBC6QEF1,308.7
ID_Y3YARETW8RAP,1220.65
ID_BY9JJAIKBRGP,405.89
ID_0U5AM482W1DE,417.8
ID_G0I28ORJC3OP,455.44
ID_Q34ED4EMSA3R,575.13
ID_LN3LXEG984XM,587.94
ID_0JTIPPYRJND0,796.98
ID_2MRD9I2X8UXB,219.4
ID_KH1FHLUW2T4X,247.64
ID_RFM5MWSIU1JX,303.74
ID_IAH2UTMDVU8F,256.37
ID_9SNP46T1GSJI,698.5
ID_DSQ9ISYFW4DB,503.67
ID_B8XYLC3NM6XD,167.4
ID_HOG9LK4CTN8K,442.21
ID_L3RTRS1QIY6D,326.36
ID_03QW4RBYQEBK,402.23
ID_ZJSYN3ZHXK5K,807.0
ID_UPRM76SZ7IJJ,646.15
ID_YB866N9RY5TU,530.25
ID_4H0KNHPKF9BK,218.65
ID_TOIT03A3WTTD,308.08
ID_4P7NKCB6LMJ5,33.65
ID_1TIMGZJLRLWF,619.2
ID_25E6065LQDON,675.28
ID_SOB9B3H12POE,849.48
ID_A8RF0GQGJF5H,891.7
ID_GT36LGF8SM8K,516.82
ID_E9OHGDA3U6DG,441.47
