ID,Yield
ID_F9XXEXN2ADR2,696.1
ID_SO3VW2X4QO93,410.04
ID_UKUQ7JM8E894,523.58
ID_QUISMWEZR2H4,308.85
ID_25JGI455VKCZ,553.08
ID_KQEAOXF3RPV6,371.48
ID_FSNZCPW9HTD2,891.42
ID_U2TOPOA0T40S,304.49
ID_XVQLSUKOT04J,1061.95
ID_EAZAU6IW58PK,168.3
ID_WI17R25TC2VU,332.57
ID_OPR9MJWG40U7,1668.73
ID_P9K9GAHC6FX6,618.28
ID_SCAOUCCTJ75Z,24.64
ID_MUP1OS8GZR5E,2611.5
ID_WVBSZ9VBC9HE,679.23
ID_9MGH1WIKFBNB,386.19
ID_3M2O3EPOM18C,2183.18
ID_K9MOR4N1FWIB,553.49
ID_VJPUPMSQARO5,1323.35
ID_7WIMK3DXIU3Q,1234.55
ID_6QXVH0EUS60J,1184.0
ID_CA9GH6Q53A1Q,212.96
ID_94KO4EQ6TA3S,249.36
ID_2WH3AXUWRS2A,231.27
ID_LBS8TBC6QEF1,312.8
ID_Y3YARETW8RAP,1253.1
ID_BY9JJAIKBRGP,387.01
ID_0U5AM482W1DE,410.6
ID_G0I28ORJC3OP,452.75
ID_Q34ED4EMSA3R,531.4
ID_LN3LXEG984XM,599.06
ID_0JTIPPYRJND0,753.5
ID_2MRD9I2X8UXB,200.0
ID_KH1FHLUW2T4X,253.41
ID_RFM5MWSIU1JX,311.89
ID_IAH2UTMDVU8F,246.8
ID_9SNP46T1GSJI,696.91
ID_DSQ9ISYFW4DB,519.72
ID_B8XYLC3NM6XD,206.24
ID_HOG9LK4CTN8K,444.67
ID_L3RTRS1QIY6D,319.13
ID_03QW4RBYQEBK,405.16
ID_ZJSYN3ZHXK5K,832.05
ID_UPRM76SZ7IJJ,639.01
ID_YB866N9RY5TU,542.02
ID_4H0KNHPKF9BK,200.5
ID_TOIT03A3WTTD,302.21
ID_4P7NKCB6LMJ5,35.9
ID_1TIMGZJLRLWF,694.29
ID_25E6065LQDON,679.26
ID_SOB9B3H12POE,874.05
ID_A8RF0GQGJF5H,897.3
ID_GT36LGF8SM8K,534.25
ID_E9OHGDA3U6DG,434.57
ID_HXWHLMRE99CE,1231.1
ID_3VL9DLFRG5A3,318.21
ID_OKPI3DR2ZQPJ,268.39
ID_XZO6ECCAOC94,969.5
ID_4X2UWYR6RIE2,758.01
ID_1LVAHN6PZYBS,944.2
ID_HRAJFKTPCNWQ,1991.2
ID_TK4H5NRKHOE8,335.72
ID_9U0UBT1J8152,319.42
ID_3EUKVYT37JOP,238.63
ID_1499QWPPW755,924.45
ID_ULWP3J0G860C,388.055
ID_51FSB3P7RO7F,589.8
ID_FHMVP6OM4GDX,1748.13
ID_2OICAUFVUF5S,226.5
ID_ZGCFHIHAIC5U,430.6
ID_SR592R346POT,1245.45
ID_IW7UUDAW8LI0,388.22
ID_UNWZCF6L3JHJ,436.8
ID_Z4FXX0BNPHCO,571.2
ID_T18YB26T1R72,423.3
ID_LXZWOINVI194,605.25
