ID,Yield
ID_F9XXEXN2ADR2,683.22
ID_SO3VW2X4QO93,422.8
ID_UKUQ7JM8E894,538.23
ID_QUISMWEZR2H4,317.81
ID_25JGI455VKCZ,553.14
ID_KQEAOXF3RPV6,365.42
ID_FSNZCPW9HTD2,890.64
ID_U2TOPOA0T40S,296.81
ID_XVQLSUKOT04J,1085.1
ID_EAZAU6IW58PK,170.7
ID_WI17R25TC2VU,332.58
ID_OPR9MJWG40U7,1684.88
ID_P9K9GAHC6FX6,606.91
ID_SCAOUCCTJ75Z,28.16
ID_MUP1OS8GZR5E,2763.46
ID_WVBSZ9VBC9HE,675.2
ID_9MGH1WIKFBNB,391.64
ID_3M2O3EPOM18C,2163.13
ID_K9MOR4N1FWIB,562.86
ID_VJPUPMSQARO5,1334.1
ID_7WIMK3DXIU3Q,1237.25
ID_6QXVH0EUS60J,1208.8
ID_CA9GH6Q53A1Q,205.98
ID_94KO4EQ6TA3S,251.62
ID_2WH3AXUWRS2A,235.16
ID_LBS8TBC6QEF1,316.2
ID_Y3YARETW8RAP,1251.55
ID_BY9JJAIKBRGP,394.7266666666667
ID_0U5AM482W1DE,422.35
ID_G0I28ORJC3OP,460.7
ID_Q34ED4EMSA3R,592.81
ID_LN3LXEG984XM,633.33
ID_0JTIPPYRJND0,754.55
ID_2MRD9I2X8UXB,200.0
ID_KH1FHLUW2T4X,247.84
ID_RFM5MWSIU1JX,299.24333333333334
ID_IAH2UTMDVU8F,246.15
ID_9SNP46T1GSJI,691.54
ID_DSQ9ISYFW4DB,514.71
ID_B8XYLC3NM6XD,159.67
ID_HOG9LK4CTN8K,457.4
ID_L3RTRS1QIY6D,324.92
ID_03QW4RBYQEBK,400.75
ID_ZJSYN3ZHXK5K,823.55
ID_UPRM76SZ7IJJ,633.96
ID_YB866N9RY5TU,539.6
ID_4H0KNHPKF9BK,201.5
ID_TOIT03A3WTTD,300.68
ID_4P7NKCB6LMJ5,35.9
ID_1TIMGZJLRLWF,620.17
ID_25E6065LQDON,690.75
ID_SOB9B3H12POE,877.4
ID_A8RF0GQGJF5H,874.45
ID_GT36LGF8SM8K,524.88
ID_E9OHGDA3U6DG,443.74
ID_HXWHLMRE99CE,1224.47
ID_3VL9DLFRG5A3,317.73
ID_OKPI3DR2ZQPJ,279.19
ID_XZO6ECCAOC94,943.9
ID_4X2UWYR6RIE2,730.29
ID_1LVAHN6PZYBS,791.25
ID_HRAJFKTPCNWQ,1990.65
ID_TK4H5NRKHOE8,339.2
ID_9U0UBT1J8152,324.43
ID_3EUKVYT37JOP,238.44
ID_1499QWPPW755,837.84
ID_ULWP3J0G860C,379.2738095238095
ID_51FSB3P7RO7F,584.78
ID_FHMVP6OM4GDX,1756.15
ID_2OICAUFVUF5S,223.4
ID_ZGCFHIHAIC5U,440.87
ID_SR592R346POT,1220.95
ID_IW7UUDAW8LI0,402.21
ID_UNWZCF6L3JHJ,431.45
ID_Z4FXX0BNPHCO,1859.2
ID_T18YB26T1R72,417.53
ID_LXZWOINVI194,603.55
ID_QNQJS14C9JJR,1915.05
ID_NTPIQUV3J2G6,855.11
ID_PVQOEEDTISZ0,4.0
ID_PNB65ASGG3U5,323.64
ID_KWPXATBZDX9T,506.91
ID_0G0F9TOR4IMI,1541.0
ID_FVLMABW5Y6X2,916.46
ID_O2PL38IY50T5,353.41
ID_CNG8Z00FPPMP,782.75
ID_641DSHBH8JAF,1126.22
ID_Y14QXUKOFJ4H,323.948
ID_DRP3WZV4BNIE,599.64
ID_TMXV7UW39T80,229.5
ID_0L8O49SS6MQM,498.72
ID_UGTG0XQELY2U,448.1
ID_0YZYA9AXL9Z2,296.23
ID_KNOK4V0IWVUO,163.4
ID_YX4DF17Z25RV,401.99
ID_2YAZXP3AEDVO,305.89
ID_YNACZPCVVI09,1740.41
ID_75GYXJW1DYGX,322.17
ID_YRCMJRFRTU2K,794.41
ID_1L4WBTHTDQMP,515.0
ID_RO0XF0TFLRG6,615.36
ID_NJ7G0SAVDN1Q,363.24
ID_UFPM6MLG1BJK,4.08
ID_ULY51B6WQ9FV,829.55
ID_CR6L4TL2VEEM,236.0
ID_4YRSPS7X1V7Q,434.57
ID_ILQ5YE78E0SD,237.22333333333336
ID_WDNXY8YRA10N,445.28
ID_WYK6LRWQ21ML,309.01
ID_EBA4QUGDXB5I,1203.05
ID_2WCWAKQKRA74,650.47
ID_FTSIEXKUER9Y,330.6
ID_64BCOW7PEP3E,81.8
ID_0N5TFB55JBOB,700.7
ID_9AE1OJ45UFJ3,534.96
ID_NJWAR6L7X4Q6,784.1
ID_W8U6J9PKGGGI,383.6
ID_WJUUIJMPNLHW,384.72
ID_S7F4L5OW7OKD,859.0
ID_Y0OX05BLLQPI,197.2
ID_XJ7ULGKCALNF,650.77
